"","HF1","HF2","HF3","HFK1","HFK2","HFK3"
"peak955",19.1063362999116,11.5927769943328,15.4658737444588,3.27180344629775,1.65050964695202,4.30889335039032
"peak964",44.5814513664605,55.0656907230808,88.9287740306383,1.09060114876592,3.09470558803504,6.46334002558548
"peak966",19.1063362999116,8.69458274574959,72.1740774741413,4.36240459506367,1.44419594108302,1.43629778346344
"peak971",46.7043776220062,5.7963884971664,24.4876334287265,3.27180344629775,0.206313705869003,2.15444667519516
"peak972",14.8604837888202,2.8981942485832,30.9317474889177,0,0,0
"peak977",12.7375575332744,11.5927769943328,37.3758615491089,2.18120229753184,0,1.43629778346344
"peak985",4.24585251109147,8.69458274574959,1.28882281203824,8.72480919012734,9.90305788171212,6.46334002558548
"peak995",0,0,0,3.27180344629775,9.28411676410512,13.6448289429027
"peak1022",0,0,0,3.27180344629775,15.8861553519132,7.18148891731721
"peak1035",4.24585251109147,5.7963884971664,7.73293687222942,14.1778149339569,34.0417614683854,30.1622534527323
"peak1037",4.24585251109147,0,3.86646843611471,11.9966126364251,11.3472538227951,12.926680051171
"peak1039",8.49170502218295,20.2873597400824,11.5994053083441,7.63420804136142,7.8399208230221,10.7722333759758
"peak1040",0,0,0,7.63420804136142,5.77678376433207,10.7722333759758
"peak1041",0,0,0,3.27180344629775,15.0609005284372,9.33593559251237
"peak1046",2.12292625554574,2.8981942485832,3.86646843611471,10.9060114876592,12.1725086462712,15.7992756180979
"peak1057",0,0,1.28882281203824,1.09060114876592,2.06313705869003,7.89963780904893
"peak1062",4.24585251109147,0,0,7.63420804136142,5.36415635259407,7.89963780904893
"peak1064",6.36877876663721,0,1.28882281203824,6.54360689259551,6.60203858780808,8.61778670078065
"peak1066",12.7375575332744,2.8981942485832,1.28882281203824,18.5402195290206,11.5535675286641,19.3900200767565
"peak1068",106.146312777287,31.8801367344152,59.2858493537589,5.45300574382959,10.1093715875811,10.0540844842441
"peak1070",19.1063362999116,11.5927769943328,6.44411406019118,11.9966126364251,20.6313705869003,33.7529979113909
"peak1072",48.827303877552,55.0656907230808,34.7982159250324,16.3590172314888,23.7260761749353,29.4441045610005
"peak1073",352.405758420592,188.382626157908,489.75266857453,19.6308206777865,29.5028599392674,33.0348490196591
"peak1079",27.5980413220946,17.3891654914992,29.6429246768794,2.18120229753184,2.47576447042803,2.87259556692688
"peak1102",91.2858289884667,28.981942485832,83.7734827824854,45.8052482481685,46.6268975263946,46.6796779625618
"peak1104",723.917853141096,205.771791649407,363.448032994783,62.1642654796573,8.2525482347601,48.834124637757
"peak1105",2.12292625554574,0,1.28882281203824,6.54360689259551,4.95152894085606,7.89963780904893
"peak1116",2.12292625554574,2.8981942485832,0,6.54360689259551,5.98309747020108,9.33593559251237
"peak1121",0,14.490971242916,5.15529124815295,7.63420804136142,12.3788223521402,11.4903822677075
"peak1124",6.36877876663721,0,5.15529124815295,15.2684160827228,14.6482731166992,16.5174245098296
"peak1126",6.36877876663721,0,0,8.72480919012734,7.6336071171531,6.46334002558548
"peak1131",12.7375575332744,2.8981942485832,0,4.36240459506367,10.1093715875811,6.46334002558548
"peak1135",38.2126725998233,63.7602734688304,30.9317474889177,25.0838264216161,17.9492924106032,17.2355734015613
"peak1160",8.49170502218295,2.8981942485832,2.57764562407647,11.9966126364251,32.3912518214334,17.953722293293
"peak1168",27.5980413220946,28.981942485832,96.6617109028678,22.9026241240843,43.9448193500976,21.5444667519516
"peak1170",38.2126725998233,5.7963884971664,24.4876334287265,4.36240459506367,23.7260761749353,20.8263178602199
"peak1173",23.3521888110031,60.8620792202472,87.6399512186001,62.1642654796573,83.763364582815,127.830502728246
"peak1185",0,0,0,5.45300574382959,13.2040771756162,7.18148891731721
"peak1188",2.12292625554574,5.7963884971664,5.15529124815295,5.45300574382959,7.8399208230221,7.89963780904893
"peak1192",0,2.8981942485832,0,6.54360689259551,10.1093715875811,6.46334002558548
"peak1193",14.8604837888202,0,10.3105824963059,2.18120229753184,12.9977634697472,16.5174245098296
"peak1195",6.36877876663721,0,2.57764562407647,16.3590172314888,13.2040771756162,10.0540844842441
"peak1211",0,2.8981942485832,0,23.9932252728502,31.3596832920884,17.2355734015613
"peak1212",2.12292625554574,0,0,6.54360689259551,10.1093715875811,12.926680051171
"peak1214",4.24585251109147,0,16.7546965564971,31.6274333142116,74.4792478187099,28.0078067775371
"peak1215",6.36877876663721,11.5927769943328,5.15529124815295,17.4496183802547,34.4543888801234,28.0078067775371
"peak1221",10.6146312777287,8.69458274574959,6.44411406019118,2.18120229753184,5.15784264672506,13.6448289429027
"peak1228",171.957026699205,295.615813355486,291.273955520641,76.3420804136142,64.7825036428668,133.5756938621
"peak1230",2.12292625554574,2.8981942485832,6.44411406019118,10.9060114876592,10.7283127051881,11.4903822677075
"peak1235",4.24585251109147,23.1855539886656,10.3105824963059,6.54360689259551,6.80835229367709,10.0540844842441
"peak1236",72.1794926885551,63.7602734688304,57.9970265417207,172.314981505015,193.522256105124,160.865351747905
"peak1237",14.8604837888202,8.69458274574959,12.8882281203824,21.8120229753184,16.0924690577822,14.3629778346344
"peak1239",40.335598855369,20.2873597400824,38.6646843611471,14.1778149339569,7.22097970541509,18.6718711850247
"peak1241",23.3521888110031,23.1855539886656,10.3105824963059,4.36240459506367,7.01466599954609,10.7722333759758
"peak1244",36.0897463442775,8.69458274574959,18.0435193685353,15.2684160827228,9.07780305823611,15.7992756180979
"peak1247",445.814513664605,376.765252315816,672.76550788396,221.392033199481,346.813339565793,328.194043521396
"peak1255",10.6146312777287,5.7963884971664,2.57764562407647,16.3590172314888,9.69674417584312,13.6448289429027
"peak1260",2.12292625554574,0,3.86646843611471,3.27180344629775,3.71364670564205,15.7992756180979
"peak1261",2.12292625554574,0,1.28882281203824,34.8992367605094,18.3619198223412,50.2704224212204
"peak1262",2.12292625554574,0,0,6.54360689259551,5.98309747020108,9.33593559251237
"peak1267",14.8604837888202,0,15.4658737444588,9.81541033889326,8.2525482347601,6.46334002558548
"peak1271",19.1063362999116,28.981942485832,7.73293687222942,11.9966126364251,11.3472538227951,12.2085311594392
"peak1273",4.24585251109147,2.8981942485832,1.28882281203824,4.36240459506367,7.42729341128409,12.926680051171
"peak1277",0,11.5927769943328,2.57764562407647,11.9966126364251,8.0462345288911,6.46334002558548
"peak1282",2.12292625554574,8.69458274574959,0,7.63420804136142,7.8399208230221,5.74519113385376
"peak1283",0,2.8981942485832,0,14.1778149339569,4.53890152911806,4.30889335039032
"peak1286",14.8604837888202,14.490971242916,24.4876334287265,0,5.77678376433207,3.5907444586586
"peak1298",4.24585251109147,0,2.57764562407647,26.174427570382,38.1680355857655,33.0348490196591
"peak1302",2.12292625554574,0,1.28882281203824,7.63420804136142,5.98309747020108,9.33593559251237
"peak1303",182.571657976933,23.1855539886656,180.435193685353,89.4292941988053,199.711667281195,94.7956537085871
"peak1304",16.9834100443659,17.3891654914992,2.57764562407647,63.2548666284232,49.7216031144296,43.8070823956349
"peak1309",10.6146312777287,5.7963884971664,1.28882281203824,10.9060114876592,5.15784264672506,14.3629778346344
"peak1311",2.12292625554574,0,1.28882281203824,5.45300574382959,10.1093715875811,5.74519113385376
"peak1320",0,0,1.28882281203824,7.63420804136142,16.7114101753892,7.89963780904893
"peak1332",8.49170502218295,0,0,15.2684160827228,13.4103908814852,37.3437423700495
"peak1336",4.24585251109147,2.8981942485832,7.73293687222942,3.27180344629775,9.90305788171212,7.89963780904893
"peak1337",2.12292625554574,17.3891654914992,10.3105824963059,6.54360689259551,16.5050964695202,28.0078067775371
"peak1338",59.4419351552806,107.233187197578,74.7517230982177,29.4462310166798,49.7216031144296,82.5871225491479
"peak1339",53.0731563886434,92.7422159546623,37.3758615491089,34.8992367605094,28.6776051157914,69.6604424979769
