"","Var1","Freq"
"262","Car1",6
"263","Car12",1
"264","Car2",2
"265","Car4",2
"266","Casc3",1
"267","Casp2",1
"268","Casp3",1
"269","Casp4",1
"270","Casp7",1
"271","Cast",1
"272","Casz1",2
"273","Cbfb",1
"274","Cbl",1
"275","Cblc",1
"276","Cbx5",1
"277","Ccdc47",1
"278","Ccdc6",1
"279","Ccdc71l",6
"280","Ccdc88c",1
"281","Ccna2",1
"282","Ccnb2",1
"283","Ccnc",1
"284","Ccnd1",2
"285","Ccnd2",1
"286","Ccnf",1
"287","Ccng2",12
"288","Ccnt1",1
"289","Ccny",1
"290","Cct8",1
"291","Cd151",1
"292","Cd164",1
"293","Cd177",1
"294","Cd2ap",1
"295","Cd38",6
"296","Cd81",1
"297","Cd82",7
"298","Cdc25a",1
"299","Cdc34",3
"300","Cdc42",1
"301","Cdh1",6
"302","Cdh17",10
"303","Cdhr2",2
"304","Cdk12",1
"305","Cdk18",1
"306","Cdk5rap3",1
"307","Cdkn1a",2
"308","Cdkn1b",3
"309","Cds1",4
"310","Ceacam1",6
"311","Ceacam20",3
"312","Cebpa",1
"313","Celf1",1
"314","Celsr1",1
"315","Cep170b",1
"316","Cep350",3
"317","Cept1",1
"318","Cers6",5
"319","Cfl1",2
"320","Cfl2",1
"321","Cflar",1
"322","Chchd2",1
"323","Chchd3",1
"324","Chd2",1
"325","Chd4",5
"326","Chd6",1
"327","Chdh",2
"328","Chga",2
"329","Chgb",1
"330","Chic1",1
"331","Chmp1a",2
"332","Chmp1b Gnal",1
"333","Chmp4c",4
"334","Chmp7",1
"335","Chp1",8
"336","Chp2",2
"337","Chst4",1
"338","Ciapin1",1
"339","Cideb",1
"340","Cited2",1
"341","Clasp2",2
"342","Clca1",2
"343","Clca4a",8
"344","Clca4b",1
"345","Cldn12",2
"346","Cldn23",3
"347","Cldn4",7
"348","Cldn7",2
"349","Clec2h",1
"350","Clic1",2
"351","Clint1",4
"352","Cln8",1
"353","Clock",1
"354","Clpx",2
"355","Clrn3",4
"356","Cltb",1
"357","Cltc",6
"358","Cmas",1
"359","Cmip",2
"360","Cmtm4",1
"361","Cmtr2",1
"362","Cnbp",2
"363","Cnksr1",1
"364","Cnnm4",1
"365","Cnot1",1
"366","Cnot4",1
"367","Cnot6",1
"368","Cnot6l",1
"369","Cnot7",1
"370","Cnppd1",2
"371","Cog3",1
"372","Cog6",1
"373","Col4a3bp",1
"374","Copa",1
"375","Copb2",1
"376","Copg1",1
"377","Copg2",1
"378","Copz1",1
"379","Coq2",1
"380","Coro1c",2
"381","Coro2a",1
"382","Cox14",1
"383","Cox5a",1
"384","Cpd",3
"385","Cpeb4",4
"386","Cpne3",2
"387","Crb3",3
"388","Crebbp",2
"389","Crebrf",4
"390","Crk",3
"391","Cry2",2
"392","Cryl1",2
"393","Cs",1
"394","Csde1",1
"395","Csnk1a1",2
"396","Csnk1d",4
"397","Csnk1g1",1
"398","Ctdsp2",1
"399","Ctdspl",2
"400","Ctnna1",4
"401","Ctnnb1",3
"402","Ctnnd1",3
"403","Ctps",1
"404","Ctsa",2
"405","Ctsb",3
"406","Ctsc",1
"407","Ctsd",2
"408","Ctsl",1
"409","Ctss",1
"410","Cttn",1
"411","Ctu1",1
"412","Cul4b",1
"413","Cwf19l2",1
"414","Cx3cl1",2
"415","Cxadr",11
"416","Cxcl10",1
"417","Cyb561",1
"418","Cyb5r3",1
"419","Cyfip1",2
"420","Cyp2c55",1
"421","Cyp2d34",1
"422","Cyp2j6",2
"423","Cyp3a13",1
"424","Cystm1",1
"425","Cyth1",1
"426","Daam1",1
"427","Dab2ip",2
"428","Daglb",2
"429","Dazap2",4
"430","Dbi",2
"431","Dbt",1
"432","Dcaf10",1
"433","Dcaf12",4
"434","Dcaf13",1
"435","Dcbld1",3
"436","Dcp2",1
"437","Dctn1",1
"438","Dcxr",2
"439","Ddah1",2
"440","Ddb1",1
"441","Ddi2",3
"442","Ddit4",2
"443","Ddr1",1
"444","Ddx17",1
"445","Ddx26b",1
"446","Ddx3x",3
"447","Ddx47",1
"448","Ddx5",2
"449","Ddx6",2
"450","Degs2",2
"451","Dennd1b",1
"452","Dennd4c",1
"453","Dera",1
"454","Derl1",2
"455","Derl2",1
"456","Dgat2",6
"457","Dgcr8",2
"458","Dgka",3
"459","Dgkd",1
"460","Dgkh",1
"461","Dgkq",1
"462","Dgkz",1
"463","Dhcr24",4
"464","Dhcr7",4
"465","Dhrs11",1
"466","Dhrs9",10
"467","Dhx32",2
"468","Dhx33",1
"469","Dhx9",1
"470","Diaph1",2
"471","Dicer1",1
"472","Dido1",1
"473","Dmap1",1
"474","Dmbt1",3
"475","Dmxl1",1
"476","Dnaja3",1
"477","Dnajb12",1
"478","Dnajc10",2
"479","Dnajc3",1
"480","Dnajc5",3
"481","Dnm2",1
"482","Dnmbp",5
"483","Dnmt3a",1
"484","Dok4",4
"485","Dopey2",2
"486","Dpep1 AC114005.5",1
"487","Dsc2",4
"488","Dsg2",8
"489","Dsp",3
"490","Dst",3
"491","Dstn",3
"492","Dstyk",1
"493","Duox2",7
"494","Dusp16",1
"495","Dusp5",1
"496","Dym",1
"497","Dync1h1",2
"498","Dync1i2",1
"499","Dyrk1a",1
"500","Dyrk2",1
"501","E2f3",1
"502","E2f4",1
"503","Eapp",1
"504","Echs1",1
"505","Edc3",1
"506","Edem1",3
"507","Edn1",1
"508","Eea1",1
"509","Eef1a1",2
"510","Eef1b2",1
"511","Eef2k",1
"512","Efhd2",3
"513","Efna1",6
"514","Efnb2",3
"515","Egfr",2
"516","Egr1",1
"517","Ehf",2
"518","Eif1ad",1
"519","Eif1ax",1
"520","Eif2ak1",2
"521","Eif2b2",1
"522","Eif3a",1
"523","Eif4e2",2
"524","Eif4g2",4
"525","Eif4h",1
