peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak12370,Ctnna1,ENSMUSG00000037815,P26231,12385,3.38755066,0.0099221,0.6682485,7.90E-04,0.27073676,3.63E-04,4.32653592
peak8882,Zfr,ENSMUSG00000022201,O88532,22763,3.835338241,0.008273611,0.376120112,0.017112047,0.100487711,0.037472625,4.311946064
peak26167,Adam10,ENSMUSG00000054693,O35598,11487,3.662202878,0.003624482,0.524871459,0.004582585,0.1207231,0.002210686,4.307797437
peak18605,Esrp1,ENSMUSG00000040728,Q3US41,207920,3.315071387,2.38E-08,0.787382561,1.12E-09,0.152770251,0.008127981,4.255224198
peak20498,Prom1,ENSMUSG00000029086,O54990,19126,2.207871013,0.009254832,1.319205726,2.12E-06,0.693691772,4.51E-04,4.22076851
peak968,F11r,ENSMUSG00000038235,O88792,16456,3.517705071,0.016764787,0.383308707,0.02414038,0.306470394,0.0031009,4.207484172
peak8850,Sepp1,ENSMUSG00000064373,P70274,NA,2.996667042,0.010539692,0.839638723,2.55E-04,0.340888255,0.008148767,4.17719402
peak20460,Prom1,ENSMUSG00000029086,O54990,19126,2.163626137,0.043294726,1.319205726,2.12E-06,0.693691772,4.51E-04,4.176523634
peak7942,Flnb,ENSMUSG00000025278,Q80X90,286940,2.687801624,0.021262331,0.821255022,1.03E-12,0.667230493,0.001245055,4.176287139
peak12280,Dsg2,ENSMUSG00000044393,O55111,13511,2.96965802,0.029443515,0.879939906,9.75E-05,0.31879607,8.30E-07,4.168393996
peak1220,Mgat4a,ENSMUSG00000026110,Q812G0,269181,2.993922661,0.022241589,0.84880265,0.035901388,0.236041936,1.25E-04,4.078767247
peak5283,Itga3,ENSMUSG00000001507,Q62470,16400,2.691852196,0.041981217,1.104810399,4.15E-05,0.276115206,4.15E-04,4.0727778
peak12261,Dsg2,ENSMUSG00000044393,O55111,13511,2.85400884,0.002069567,0.879939906,9.75E-05,0.31879607,8.30E-07,4.052744816
peak20240,Lrch4,ENSMUSG00000093445,Q921G6,231798,3.339482916,5.84E-04,0.582259019,0.027067122,0.124168078,0.012620793,4.045910013
peak12562,Myo5b,ENSMUSG00000025885,P21271,17919,3.299378066,0.009944545,0.53449299,0.009172893,0.192170382,3.50E-05,4.026041438
peak16853,Mcl1,ENSMUSG00000038612,P97287,17210,2.67532163,0.010800437,1.124991075,3.88E-05,0.224088955,0.002882615,4.02440166
peak6895,Mboat1,ENSMUSG00000038732,Q8BH98,218121,2.608376527,0.022669896,0.953728211,2.14E-08,0.40054107,0.010077749,3.962645808
peak17015,Eps8l3,ENSMUSG00000040600,Q91WL0,99662,2.564138255,3.10E-05,1.115114318,1.60E-06,0.269954437,0.010069223,3.949207009
peak14228,Pdlim1,ENSMUSG00000055044,O70400,54132,3.275134865,0.010800437,0.22310587,0.041998631,0.447520656,0.002581791,3.945761391
peak16313,Sdc4,ENSMUSG00000017009,O35988,20971,2.838476819,0.001081332,0.698494999,0.005748678,0.20280841,0.032665937,3.739780228
peak27241,Nbeal2,ENSMUSG00000056724,Q6ZQA0,235627,2.856487457,0.009882714,0.60452738,1.02E-04,0.256363416,1.95E-04,3.717378253
peak20481,Prom1,ENSMUSG00000029086,O54990,19126,1.698571153,0.020359184,1.319205726,2.12E-06,0.693691772,4.51E-04,3.71146865
peak25853,Dnm2,ENSMUSG00000033335,P39054,13430,3.166626866,0.005221045,0.38421138,0.039002686,0.138823632,0.022867669,3.689661879
peak16917,Txnip,ENSMUSG00000038393,Q8BG60,56338,2.532932045,1.57E-05,0.848608853,2.91E-04,0.184348634,0.033079634,3.565889532
peak24320,Capn5,ENSMUSG00000035547,O08688,12337,1.816146596,0.018419703,1.359090489,4.38E-09,0.362270726,8.94E-05,3.537507812
peak1888,Ncstn,ENSMUSG00000003458,P57716,59287,2.935942798,0.028695951,0.430747278,0.010818985,0.12084381,0.017311709,3.487533886
peak16320,Sdc4,ENSMUSG00000017009,O35988,20971,2.585208756,0.027878292,0.698494999,0.005748678,0.20280841,0.032665937,3.486512165
peak17372,Lmna,ENSMUSG00000028063,P48678,16905,2.459810178,5.72E-04,0.621664605,0.010986387,0.393438186,2.01E-04,3.474912969
peak16315,Sdc4,ENSMUSG00000017009,O35988,20971,2.571225245,0.014754136,0.698494999,0.005748678,0.20280841,0.032665937,3.472528654
peak22001,Cmas,ENSMUSG00000030282,Q99KK2,12764,2.664860762,2.66E-04,0.51797746,0.019758752,0.280852254,0.007297695,3.463690476
peak20473,Prom1,ENSMUSG00000029086,O54990,19126,1.428774817,0.011532237,1.319205726,2.12E-06,0.693691772,4.51E-04,3.441672315
peak16862,Mcl1,ENSMUSG00000038612,P97287,17210,2.070595454,0.034410162,1.124991075,3.88E-05,0.224088955,0.002882615,3.419675485
peak6299,Esyt2,ENSMUSG00000021171,Q3TZZ7,52635,2.618621029,0.015040273,0.547135675,1.53E-04,0.248593739,0.002000998,3.414350442
peak16859,Mcl1,ENSMUSG00000038612,P97287,17210,2.060662081,0.003827601,1.124991075,3.88E-05,0.224088955,0.002882615,3.409742111
peak6789,Klf6,ENSMUSG00000000078,O08584,23849,1.465516293,0.034266018,1.260450371,2.96E-12,0.650412708,2.06E-05,3.376379372
peak717,Plekha6,ENSMUSG00000041757,Q7TQG1,240753,2.510184261,0.029119424,0.604682865,0.019252759,0.232585498,4.61E-04,3.347452625
peak6325,Rhob,ENSMUSG00000054364,P62746,11852,1.716196153,0.012036156,1.283618962,1.19E-06,0.334187141,3.19E-04,3.334002256
peak8314,Bin3,ENSMUSG00000022089,Q9JI08,57784,2.802683842,0.031202459,0.338369745,0.04488333,0.159880067,0.023567573,3.300933654
peak3785,Map2k3,ENSMUSG00000018932,O09110,26397,1.89751482,0.035736494,1.238524169,6.39E-08,0.141146168,1.71E-04,3.277185158
peak8845,Sepp1,ENSMUSG00000064373,P70274,NA,2.094803305,0.003775373,0.839638723,2.55E-04,0.340888255,0.008148767,3.275330283
