"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak15017",22.1621289698919,-1.19375819607375,0.557645122922177,-2.14071305746961,0.0322971848774029,0.0615738502131019
"peak15020",20.4812106638562,1.46885582040498,0.779917269546127,1.88334824443596,0.0596531893370846,0.0994039219228924
"peak15026",3.29585400952571,4.15671060309672,1.39577676830253,2.97806260821484,0.00290076724356529,0.00974714463283477
"peak15028",14.4201438390402,0.613782827897398,0.672736642231569,0.912367172184033,0.361575464580645,0.436236597337105
"peak15034",4.52442157348217,4.62755266944807,3.71582171972024,1.24536455688635,0.212997775424423,0.281744714236007
"peak15039",5.41305422566754,4.91999438981681,1.38064349118321,3.563551649094,0.000365870665257644,0.00210643529453773
"peak15042",67.5680307581042,-4.13185695841215,0.744117954182205,-5.55269085390247,2.81305315166969e-08,7.70300723720894e-07
"peak15047",76.22014534399,-3.98190378771464,0.504567456903916,-7.89171741702896,2.98056016164886e-15,4.97121306961071e-13
"peak15051",19.2490124643478,-1.38332920679796,0.640204811851075,-2.16076040228162,0.0307138523260322,0.0591080570638047
"peak15053",5.62557499076317,3.82531259605842,1.31405301955818,2.91107933935922,0.00360182545144794,0.0112574941991877
"peak15054",236.224133081545,-4.71805718311609,0.741529964284412,-6.36259815565119,1.98369187562059e-10,9.09853340284645e-09
"peak15059",3.62809429766293,2.49724913793858,1.36307792787501,1.83206630147089,0.0669415432235084,0.109007767426684
"peak15060",2.23740188967677,3.64477575499787,1.48539164950366,2.45374730376043,0.0141376290232859,0.0326398951947003
"peak15061",6.25881414866311,3.99829202466302,1.30640378355903,3.0605331023847,0.00220943335751178,0.00803218044897282
"peak15062",6.64136656318012,0.387134535585814,0.777522745549829,0.497907666112134,0.618549123719388,0.681307659986294
"peak15063",43.0657748541994,-0.249891159520863,0.455866309753055,-0.548167640763429,0.583576799062722,0.648722570023092
"peak15065",12.2543080551304,-0.00917144490972381,0.632451853298998,-0.014501412023514,0.988429952750724,0.992034730113054
"peak15066",6.43614933859896,1.19556432061656,0.863522315435014,1.38452046837293,0.166199145122271,0.229550839335754
"peak15067",54.9921165101394,-2.34513033875022,0.549528320426179,-4.26753317632744,1.9764638461278e-05,0.000196717124938289
"peak15073",19.9829289975175,-2.47033715798401,0.596027134762285,-4.14467230417162,3.40299998421163e-05,0.000311504889158782
"peak15074",6.0763777023362,1.53646901673995,0.999718515825321,1.5369016302269,0.124317400251493,0.181016658990534
"peak15089",4.02292144203632,4.41550087828755,1.38879092567692,3.17938488555098,0.00147587977862439,0.00601721651966567
"peak15094",10.6226503967207,0.600980478151418,0.708896602602879,0.847768879050595,0.396566697978803,0.471426156733333
"peak15103",49.4586913572931,-2.74262609752848,0.475677971798867,-5.76572021436417,8.130985416472e-09,2.55731107041496e-07
"peak15111",4.09668808149951,3.40325640564765,1.34859507303123,2.52355690281307,0.0116174257124382,0.0282306009365386
"peak15118",5.04575954208397,1.41240486051255,1.026088781317,1.37649381440436,0.168668801061308,0.232426073111716
"peak15121",4.83819355760845,2.66876752428209,1.21738211427918,2.19221844397006,0.0283637373048263,0.055470505341069
